loop|cluster|count|distance
0|1|41|31.123641954785874
1|36|34|59.82973512875328
2|30|15|36.172520531041364
3|3|38|25.05621217498806
4|10|15|53.493131359512624
5|42|56|39.74154183753785
6|69|25|50.96685466963463
7|16|28|45.93900859974352
8|44|43|31.506466429549135
9|38|37|50.53512274913759
10|67|34|21.641693003658162
11|58|35|24.74971549198341
12|33|22|59.25207294000979
13|73|46|46.15396554657121
14|21|30|42.368975047725634
15|0|40|51.07375495067359
16|77|6|51.12486303961751
17|37|16|30.5800463335124
18|55|36|62.54339691946779
19|57|34|39.47964417675362
20|13|49|45.39901898711705
21|46|29|38.237450093236376
22|22|32|40.38211247315799
23|32|31|39.49035002907452
24|4|21|34.494473485454776
25|20|41|42.038804959849294
26|52|35|38.56305987852557
27|56|49|35.65732007633246
28|64|31|44.60072549866108
29|49|40|36.88000220145932
30|76|29|46.16927058578349
31|61|56|37.906269114658
32|6|14|27.144722553964186
33|93|47|38.22546558898437
34|72|15|38.33835346427358
35|41|22|42.38035082908686
36|8|29|43.21625346997911
37|96|36|31.953005199822915
38|95|44|54.33216159550166
39|71|37|50.37958194113944
40|14|61|31.97093425419891
41|68|29|39.35481864441637
42|18|34|50.20018396265288
43|9|32|55.441470774646795
44|53|57|31.634514867122267
45|89|31|21.458897919131896
46|17|47|52.356485016141264
47|63|61|49.51403297665043
48|60|12|52.23967848597314
49|99|17|44.54701864578448
50|47|75|41.369568502150074
51|90|23|53.575452149723155
52|5|35|26.878384937046583
53|2|36|53.10034940755373
54|43|19|45.55559721541651
55|54|29|45.58921334865346
56|88|20|45.51091230190002
57|80|29|31.93807623458147
58|26|29|45.6811256102104
59|35|14|34.82671674877871
60|78|12|41.30820613592985
61|11|20|42.41739981394705
62|12|26|44.24903603559613
63|92|38|20.8539611463212
64|98|63|47.142414272642924
65|74|41|50.26969699467876
66|51|14|53.61997553829806
67|15|24|61.73399829720986
68|27|8|54.737299082041666
69|39|24|46.35589862988598
70|86|26|59.97746664614427
71|65|37|55.444321570514
72|23|76|30.391916361330075
73|31|36|47.23850297339515
74|94|5|42.979269548948096
75|19|14|47.41364496262706
76|40|10|41.39354876537282
77|7|17|50.26391221788637
78|34|30|42.945209627102884
79|28|25|57.89806809345357
80|29|40|49.75051375229025
81|66|13|54.047228054190896
82|24|14|41.152784217953695
83|87|55|54.95127083634077
84|82|22|41.76750661377997
85|81|28|45.857071041751915
86|50|16|40.91102751695605
87|79|10|38.85752138895109
88|75|34|51.01607850501906
89|70|10|50.41359683526143
90|84|20|29.9416795378632
91|62|39|12.79247962187279
92|25|7|47.04837614898631
93|45|11|43.72242613488031
94|85|12|40.562086947920015
95|48|4|37.10115506194478
96|91|11|49.37037340111205
97|97|5|31.90528125105714
98|83|3|37.28034974077183
99|59|6|40.80217025442896
